close_date,exchange_rate_br
05/08/2016 23:58:00,3.1607
08/08/2016 23:58:00,3.1686
09/08/2016 23:58:00,3.1429
10/08/2016 23:58:00,3.1247
11/08/2016 23:58:00,3.139
12/08/2016 23:58:00,3.1884
14/08/2016 23:58:00,3.1905
15/08/2016 23:58:00,3.1848
16/08/2016 23:58:00,3.2012
17/08/2016 23:58:00,3.2048
18/08/2016 23:58:00,3.2379
19/08/2016 23:58:00,3.2055
21/08/2016 23:58:00,3.2045
22/08/2016 23:58:00,3.1987
23/08/2016 23:58:00,3.2355
24/08/2016 23:58:00,3.2233
25/08/2016 23:58:00,3.2283
26/08/2016 23:58:00,3.2612
27/08/2016 23:58:00,3.2596
28/08/2016 23:58:00,3.2641
29/08/2016 23:58:00,3.2276
30/08/2016 23:58:00,3.2368
31/08/2016 23:58:00,3.226
01/09/2016 23:58:00,3.2532
02/09/2016 23:58:00,3.2531
03/09/2016 23:58:00,3.2561
04/09/2016 23:58:00,3.2561
05/09/2016 23:58:00,3.2672
06/09/2016 23:58:00,3.1963
07/09/2016 23:58:00,3.1907
08/09/2016 23:58:00,3.2149
09/09/2016 23:58:00,3.253
10/09/2016 23:58:00,3.2717
11/09/2016 23:58:00,3.2717
12/09/2016 23:58:00,3.2469
13/09/2016 23:58:00,3.3141
14/09/2016 23:58:00,3.3435
15/09/2016 23:58:00,3.2998
16/09/2016 23:58:00,3.2603
17/09/2016 23:58:00,3.2584
18/09/2016 23:58:00,3.2655
19/09/2016 23:58:00,3.2712
20/09/2016 23:58:00,3.2561
21/09/2016 23:58:00,3.2096
22/09/2016 23:58:00,3.217
23/09/2016 23:58:00,3.2401
24/09/2016 23:58:00,3.2432
25/09/2016 23:58:00,3.2432
26/09/2016 23:58:00,3.2406
27/09/2016 23:58:00,3.2326
28/09/2016 23:58:00,3.2178
29/09/2016 23:58:00,3.2593
30/09/2016 23:58:00,3.2595
01/10/2016 23:58:00,3.2596
02/10/2016 23:58:00,3.2598
03/10/2016 23:58:00,3.2087
04/10/2016 23:58:00,3.2545
05/10/2016 23:58:00,3.2185
06/10/2016 23:58:00,3.2272
07/10/2016 23:58:00,3.2178
09/10/2016 23:58:00,3.2193
10/10/2016 23:58:00,3.2027
11/10/2016 23:58:00,3.1959
12/10/2016 23:58:00,3.2007
13/10/2016 23:58:00,3.1773
14/10/2016 23:58:00,3.2026
15/10/2016 23:58:00,3.202
16/10/2016 23:58:00,3.202
17/10/2016 23:58:00,3.2042
18/10/2016 23:58:00,3.1817
19/10/2016 23:58:00,3.1661
20/10/2016 23:58:00,3.1391
21/10/2016 23:58:00,3.1469
22/10/2016 23:58:00,3.1489
23/10/2016 23:58:00,3.1489
24/10/2016 23:58:00,3.1245
25/10/2016 23:58:00,3.1104
26/10/2016 23:58:00,3.1388
27/10/2016 23:58:00,3.1653
28/10/2016 23:58:00,3.2029
29/10/2016 23:58:00,3.2031
30/10/2016 23:58:00,3.2031
31/10/2016 23:58:00,3.1982
01/11/2016 23:58:00,3.2351
02/11/2016 23:58:00,3.2526
03/11/2016 23:58:00,3.2584
04/11/2016 23:58:00,3.2321
05/11/2016 23:58:00,3.2323
06/11/2016 23:58:00,3.2323
07/11/2016 23:58:00,3.2009
08/11/2016 23:58:00,3.1681
09/11/2016 23:58:00,3.233
10/11/2016 23:58:00,3.3956
11/11/2016 23:58:00,3.3873
12/11/2016 23:58:00,3.3865
13/11/2016 23:58:00,3.39
14/11/2016 23:58:00,3.4403
15/11/2016 23:58:00,3.4417
16/11/2016 23:58:00,3.4507
17/11/2016 23:58:00,3.4324
18/11/2016 23:58:00,3.38
19/11/2016 23:58:00,3.38
20/11/2016 23:58:00,3.3823
21/11/2016 23:58:00,3.3874
22/11/2016 23:58:00,3.3636
23/11/2016 23:58:00,3.4311
24/11/2016 23:58:00,3.3907
25/11/2016 23:58:00,3.421
26/11/2016 23:58:00,3.4173
27/11/2016 23:58:00,3.421
28/11/2016 23:58:00,3.4072
29/11/2016 23:58:00,3.4538
30/11/2016 23:58:00,3.4063
01/12/2016 23:58:00,3.573
02/12/2016 23:58:00,3.4724
04/12/2016 23:58:00,3.4747
05/12/2016 23:58:00,3.42
06/12/2016 23:58:00,3.4063
07/12/2016 23:58:00,3.3816
08/12/2016 23:58:00,3.3737
09/12/2016 23:58:00,3.3765
10/12/2016 23:58:00,3.3735
11/12/2016 23:58:00,3.377
12/12/2016 23:58:00,3.3373
13/12/2016 23:58:00,3.3342
14/12/2016 23:58:00,3.369
15/12/2016 23:58:00,3.3657
16/12/2016 23:58:00,3.3904
17/12/2016 23:58:00,3.3904
18/12/2016 23:58:00,3.3904
19/12/2016 23:58:00,3.3639
20/12/2016 23:58:00,3.3531
21/12/2016 23:58:00,3.3254
22/12/2016 23:58:00,3.2863
